"Source:","/home/ali/src/kicad/projects/reservoir_controller/reservoir_controller.sch"
"Date:","Fri 23 Nov 2018 13:11:57 CET"
"Tool:","Eeschema 6.0.0-rc1-unknown-f2ccad3~66~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Chip Datasheet","GDBStub","GDBStub Instructions"
"","","C1","100n","Device:C","alis_parts:C_0603","","","",""
"","","C2","100n","Device:C","alis_parts:C_0603","","","",""
"","","C3","100n","Device:C","alis_parts:C_0603","","","",""
"","","C4","68uF","Device:CP","alis_parts:CP_Tantalum_Case-C_EIA-6032-28_Reflow","~","","",""
"","","C5","120uF","Device:CP","alis_parts:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","","",""
"","","D1","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D2","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D3","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D4","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D5","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D6","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D7","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D8","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D9","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D10","1N5817","reservoir_controller-rescue:D_Schottky-device-autodoser-rescue","alis_parts:D_SMA","","","",""
"","","J1","ESP UART","reservoir_controller-rescue:Conn_02x03_Counter_Clockwise-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_2x03_Pitch2.54mm","~","","",""
"","","J2","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J3","Level Input","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J5","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J6","Level Input","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J7","Conn_01x02-conn","reservoir_controller-rescue:Conn_01x02-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","","","",""
"","","L1","100uH","Device:L","alis_parts:Choke_SMD_7.3x7.3_H4.5","~","","",""
"","","M1","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M2","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M3","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M4","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","Q1","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","Q2","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","Q3","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","R1","10k","Device:R","alis_parts:R_0603","","","",""
